Feature Combination,time,inertia,homogeneity_score,completeness_score,v_measure_score,adjusted_rand_score,adjusted_mutual_info_score
['anglesBetween and anglesBetween'],0,6.355036528,0.003474856,0.003541863,0.00350804,-0.010123479,-0.010907064
['anglesBetween and extensionPointsX'],0,40.24166556,0.003409341,0.010839122,0.005187123,-0.006299802,-0.014540712
['anglesBetween and extensionPointsY'],0,111.2638615,0.149056316,0.211962043,0.175028668,0.14405268,0.136504228
['anglesBetween and extensionSensorValues'],0,47408139.77,0.003167466,0.003608081,0.003373447,-0.003211729,-0.011478976
['anglesBetween and restPointsX'],0,51.24488582,0.002484334,0.005509635,0.003424525,-0.006492453,-0.013474557
['anglesBetween and restPointsY'],0,99.29273558,0.010347368,0.011683584,0.010974954,0.000794471,-0.003864352
['anglesBetween and restSensorValues'],0,26110299.31,0.022296284,0.025880052,0.023954872,0.001302439,0.008227052
['anglesBetween and vectorsBetweenX'],0,84.92515599,0.042005633,0.127986735,0.063251826,-0.035548585,0.024076983
['anglesBetween and vectorsBetweenY'],0,158.5272732,0.024191167,0.028676385,0.026243516,-0.009855453,0.009950091
['extensionPointsX and anglesBetween'],0,44.56621684,0.003409341,0.010839122,0.005187123,-0.006299802,-0.014540712
['extensionPointsX and extensionPointsX'],0,59.68847243,0.002484334,0.005509635,0.003424525,-0.006492453,-0.013474557
['extensionPointsX and extensionPointsY'],0,259.6316211,0.002878806,0.005111086,0.00368311,-0.005856198,-0.012216174
['extensionPointsX and extensionSensorValues'],0,51866959.01,0.041654888,0.042901362,0.042268937,0.042467173,0.027978171
['extensionPointsX and restPointsX'],0,241.8027155,0.013325179,0.041133118,0.020129391,0.023236632,-0.004929142
['extensionPointsX and restPointsY'],0,257.6772174,0.002279496,0.003093119,0.002624701,-0.009688657,-0.012242753
['extensionPointsX and restSensorValues'],0,27357443.36,0.010347368,0.011683584,0.010974954,0.000794471,-0.003864352
['extensionPointsX and vectorsBetweenX'],0,195.2167821,0.001643183,0.003184291,0.002167748,-0.000593524,-0.014085218
['extensionPointsX and vectorsBetweenY'],0,336.8415253,0.000250665,0.000396637,0.000307192,-0.013390802,-0.015290401
['extensionPointsY and anglesBetween'],0,120.0025842,0.020489727,0.039706619,0.027030803,0.025508915,0.005058239
['extensionPointsY and extensionPointsX'],0,247.9505367,0.086209071,0.116979741,0.099264469,0.068201611,0.072908453
['extensionPointsY and extensionPointsY'],0,207.7271395,0.076158698,0.108748459,0.089581617,0.068002596,0.062599171
['extensionPointsY and extensionSensorValues'],0,50070785.38,0.012640208,0.013423255,0.013019969,-0.000273523,-0.001444948
['extensionPointsY and restPointsX'],0,325.5139378,0.015892062,0.116202205,0.027960224,-0.008805995,-0.003304306
['extensionPointsY and restPointsY'],0,326.5261432,0.01882804,0.030366788,0.023244195,-0.018162299,0.003955426
['extensionPointsY and restSensorValues'],0,27503135.75,0.000287818,0.000288411,0.000288115,-0.01917493,-0.013922135
['extensionPointsY and vectorsBetweenX'],0,339.6015208,0.013118785,0.028190804,0.017905242,0.026436132,-0.003377903
['extensionPointsY and vectorsBetweenY'],0,346.7491272,0.003773611,0.004828226,0.004236269,-0.001035968,-0.010868253
['extensionSensorValues and anglesBetween'],0,50927466.58,0.003773611,0.004828226,0.004236269,-0.001035968,-0.010868253
['extensionSensorValues and extensionPointsX'],0,48809404.44,0.093572247,0.097636749,0.095561299,0.112352644,0.080625778
['extensionSensorValues and extensionPointsY'],0,48289811.97,1.42E-05,1.48E-05,1.45E-05,-0.018432423,-0.01433254
['extensionSensorValues and extensionSensorValues'],0,98909087.88,0.014136326,0.014826411,0.014473147,0.010249303,-0.000118589
['extensionSensorValues and restPointsX'],0,50800699.63,0.016817536,0.019028407,0.017854791,0.001201726,0.002730588
['extensionSensorValues and restPointsY'],0,51739200.19,0.013051424,0.014414569,0.01369917,0.000655845,-0.001065176
['extensionSensorValues and restSensorValues'],0,117818783.1,0.000828611,0.000864603,0.000846224,-0.018183732,-0.013442512
['extensionSensorValues and vectorsBetweenX'],0,51297598.49,3.10E-05,3.68E-05,3.37E-05,-0.01565922,-0.014562626
['extensionSensorValues and vectorsBetweenY'],0,49740517.74,0.04499835,0.047049686,0.04600116,0.042850107,0.031388417
['restPointsX and anglesBetween'],0,54.60662226,0.007147735,0.018129511,0.01025309,-0.017556815,-0.009973865
['restPointsX and extensionPointsX'],0,222.6716746,0.001761946,0.004468999,0.002527429,0.002911282,-0.015452531
['restPointsX and extensionPointsY'],0,290.2141402,0.079672822,0.120437879,0.095903174,0.014417793,0.065987759
['restPointsX and extensionSensorValues'],0,50815585.11,0.084728054,0.10043725,0.091916277,0.112023653,0.07137046
['restPointsX and restPointsX'],0,78.74032171,0.103448151,0.175656141,0.130211562,-0.04223428,0.089018229
['restPointsX and restPointsY'],0,220.4665668,0.029076295,0.121504019,0.04692362,-0.022954672,0.009988847
['restPointsX and restSensorValues'],0,27124893.35,0.013455154,0.013599579,0.013526981,-0.010412935,-0.000912929
['restPointsX and vectorsBetweenX'],0,180.8158205,0.000829061,0.001616694,0.001096053,-0.004133425,-0.014773036
['restPointsX and vectorsBetweenY'],0,340.9056546,0.028290457,0.031348577,0.029741111,0.040717911,0.014044743
['restPointsY and anglesBetween'],0,97.37425721,0.008738683,0.01320988,0.010518862,-0.014484911,-0.006001154
['restPointsY and extensionPointsX'],0,261.1378743,0.011125234,0.015885934,0.013086049,0.004522897,-0.003388811
['restPointsY and extensionPointsY'],0,352.0601111,0.00845936,0.018528754,0.011615587,0.011094977,-0.007683963
['restPointsY and extensionSensorValues'],0,47051353.05,0.001470367,0.001660244,0.001559547,-0.016583016,-0.012868829
['restPointsY and restPointsX'],0,218.2425752,0.000197475,0.000232125,0.000213402,-0.012294182,-0.01453201
['restPointsY and restPointsY'],0,164.1598244,0.002812927,0.003163069,0.00297774,-0.00871687,-0.011572167
['restPointsY and restSensorValues'],0,26641376.02,0.040356535,0.041971574,0.041148213,0.009531639,0.026353209
['restPointsY and vectorsBetweenX'],0,269.5831256,0.048810248,0.114458257,0.068436174,-0.060097078,0.030836779
['restPointsY and vectorsBetweenY'],0,326.5725878,0.010347368,0.011683584,0.010974954,0.000794471,-0.003864352
['restSensorValues and anglesBetween'],0,27381717.85,0.037665008,0.042353409,0.039871858,0.043458141,0.023782679
['restSensorValues and extensionPointsX'],0,28100701.66,0.018987109,0.019555277,0.019267005,0.010549412,0.004986896
['restSensorValues and extensionPointsY'],0,25958545.79,0.004111255,0.004058011,0.004084459,-0.019927124,-0.010628635
['restSensorValues and extensionSensorValues'],0,121100111.6,0.059643398,0.061554722,0.060583989,0.062845569,0.046253159
['restSensorValues and restPointsX'],0,28231073.07,0.00206252,0.002190291,0.002124486,-0.014770241,-0.012173532
['restSensorValues and restPointsY'],0,26376850.24,0.001069102,0.001100078,0.001084369,-0.011717547,-0.013677785
['restSensorValues and restSensorValues'],0,53114332.9,0.009324978,0.010171558,0.009729888,-0.015800404,-0.005038936
['restSensorValues and vectorsBetweenX'],0,26680308.07,0.009932335,0.009683718,0.009806451,-0.001200404,-0.00451247
['restSensorValues and vectorsBetweenY'],0,28725325.86,0.001109834,0.001197749,0.001152117,-0.017476913,-0.013188956
['vectorsBetweenX and anglesBetween'],0,84.81730652,0.001264626,0.00214735,0.001591802,0.002305647,-0.01480993
['vectorsBetweenX and extensionPointsX'],0,186.3202166,0.006587841,0.014519984,0.009063496,0.005135352,-0.009444941
['vectorsBetweenX and extensionPointsY'],0,345.5489265,0.0045825,0.006271044,0.005295424,-0.026399264,-0.010805171
['vectorsBetweenX and extensionSensorValues'],0,50783230.36,0.050967515,0.077523993,0.061501423,0.032436838,0.036964802
['vectorsBetweenX and restPointsX'],0,191.6779327,0.001050284,0.002686474,0.001510165,-0.000412446,-0.015997449
['vectorsBetweenX and restPointsY'],0,257.780428,0.004981648,0.01102534,0.006862548,0.000241838,-0.010983716
['vectorsBetweenX and restSensorValues'],0,26878550.28,0.000419653,0.000429722,0.000424628,-0.019303799,-0.014150949
['vectorsBetweenX and vectorsBetweenX'],0,148.0037034,0.001694622,0.003008664,0.002168079,-0.008730073,-0.013418286
['vectorsBetweenX and vectorsBetweenY'],0,385.4415565,0.007243458,0.014183483,0.009589559,-0.009348954,-0.008167378
['vectorsBetweenY and anglesBetween'],0,155.0351352,0.000369772,0.000479058,0.00041738,-0.018096742,-0.016174655
['vectorsBetweenY and extensionPointsX'],0,316.6629692,0.001902383,0.002449305,0.002141475,-0.007233774,-0.012662001
['vectorsBetweenY and extensionPointsY'],0,332.1013851,0.040362601,0.045668761,0.042852047,0.027257333,0.026613005
['vectorsBetweenY and extensionSensorValues'],0,53269390.23,0.040362601,0.045668761,0.042852047,0.027257333,0.026613005
['vectorsBetweenY and restPointsX'],0,318.492247,0.006790882,0.008150756,0.007408936,-0.006219313,-0.007504251
['vectorsBetweenY and restPointsY'],0,319.0624589,0.010589757,0.013690734,0.011942226,0.00309926,-0.003779577
['vectorsBetweenY and restSensorValues'],0,28160550.93,0.022698638,0.022604969,0.022651707,0.009999073,0.008678048
['vectorsBetweenY and vectorsBetweenX'],0,365.9507809,0.019536406,0.024251391,0.021640048,0.014020731,0.005349615
['vectorsBetweenY and vectorsBetweenY'],0,297.9213452,0.000734068,0.000859842,0.000791993,-0.005228322,-0.014714154
